element,decimal_approx,num_representations,sample_representation
16/125,0.12800000,1,"((3,3,2))"
17/3,5.66666667,3798,"((0,2,1), (0,3,2), (1,0,2), (1,1,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,2), (3,3,2))"
17/5,3.40000000,2405,"((0,3,1), (1,1,1), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,1), (3,3,1))"
17/9,1.88888889,242,"((0,3,1), (1,3,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,3,2))"
17/15,1.13333333,44,"((0,3,1), (2,1,1), (2,2,2), (2,3,1), (3,2,1), (3,3,2))"
17/25,0.68000000,9,"((0,3,1), (1,3,1), (2,3,2), (3,3,2))"
18/5,3.60000000,2820,"((1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,3,1))"
18/25,0.72000000,14,"((1,3,1), (2,2,2), (2,3,2), (3,3,1))"
18/125,0.14400000,1,"((1,3,1))"
19/3,6.33333333,2696,"((0,1,1), (0,2,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1))"
19/5,3.80000000,3140,"((0,3,1), (1,1,2), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,1), (3,3,1))"
19/9,2.11111111,494,"((0,3,1), (2,0,2), (2,2,2), (2,3,1), (3,1,2), (3,2,1), (3,3,2))"
19/15,1.26666667,78,"((0,3,1), (1,3,1), (2,1,1), (2,2,2), (2,3,2), (3,3,2))"
19/25,0.76000000,15,"((0,3,1), (2,2,2), (2,3,1), (3,3,2))"
20/3,6.66666667,2129,"((0,1,1), (0,2,2), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,1), (2,3,2), (3,1,1), (3,2,2), (3,3,1))"
20/9,2.22222222,517,"((1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2))"
20/27,0.74074074,4,"((2,3,1), (3,0,1), (3,1,1), (3,2,1), (3,3,1))"
21/5,4.20000000,3757,"((0,3,1), (1,0,1), (1,1,1), (1,2,1), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,2), (3,3,1))"
21/25,0.84000000,17,"((0,3,1), (1,3,1), (2,2,1), (2,3,2), (3,3,2))"
22/3,7.33333333,1015,"((0,1,2), (0,2,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,1), (3,3,2))"
22/5,4.40000000,4041,"((1,0,1), (1,1,2), (1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,2), (3,3,2))"
22/9,2.44444444,868,"((1,3,1), (2,0,2), (2,1,1), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
22/15,1.46666667,146,"((1,3,1), (2,1,2), (2,2,2), (2,3,2), (3,2,2), (3,3,1))"
22/25,0.88000000,27,"((1,3,1), (2,1,1), (2,3,2), (3,2,2), (3,3,1))"
23/3,7.66666667,571,"((0,0,1), (0,1,1), (0,2,2), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,1), (2,3,2), (3,1,1), (3,2,2), (3,3,1))"
23/5,4.60000000,4156,"((0,3,1), (1,0,1), (1,1,2), (1,2,1), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,2), (3,3,1))"
23/9,2.55555556,894,"((0,3,1), (1,3,2), (2,0,2), (2,1,2), (2,2,1), (2,3,2), (3,2,2), (3,3,1))"
23/15,1.53333333,142,"((0,3,1), (1,3,1), (2,1,2), (2,2,2), (2,3,2), (3,3,2))"
23/25,0.92000000,24,"((0,3,1), (2,1,1), (2,3,1), (3,2,2), (3,3,2))"
24/5,4.80000000,4304,"((1,0,2), (1,1,2), (1,2,1), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,1))"
24/25,0.96000000,34,"((2,1,1), (2,2,1), (2,3,2), (3,2,2), (3,3,2))"
24/125,0.19200000,1,"((2,3,2))"
25/3,8.33333333,133,"((0,0,1), (0,1,2), (0,2,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,1), (3,3,2))"
25/9,2.77777778,1321,"((0,3,1), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,3,2))"
26/3,8.66666667,61,"((0,0,2), (0,1,1), (0,2,2), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,1), (2,3,2), (3,1,1), (3,2,2), (3,3,1))"
26/5,5.20000000,4260,"((0,3,2), (1,0,2), (1,1,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
26/9,2.88888889,1456,"((1,1,1), (1,2,1), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,2,1), (3,3,1))"
26/15,1.73333333,253,"((1,3,1), (2,0,1), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
26/25,1.04000000,47,"((1,3,1), (2,1,1), (2,2,1), (2,3,2), (3,2,2), (3,3,1))"
26/27,0.96296296,14,"((1,3,1), (2,2,1), (2,3,2), (3,0,1), (3,2,1), (3,3,1))"
26/45,0.57777778,5,"((1,3,1), (2,3,2), (3,1,1), (3,3,1))"
26/75,0.34666667,2,"((1,3,1), (2,3,1), (3,2,1))"
26/125,0.20800000,1,"((1,3,1), (3,3,1))"
27/5,5.40000000,4084,"((0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,1))"
27/25,1.08000000,38,"((0,3,1), (2,1,1), (2,2,1), (2,3,1), (3,2,2), (3,3,2))"
27/125,0.21600000,1,"((0,3,1))"
28/3,9.33333333,4,"((0,0,2), (0,1,2), (0,2,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,1), (3,3,2))"
28/5,5.60000000,3919,"((0,2,1), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
28/9,3.11111111,1934,"((1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,2))"
28/15,1.86666667,337,"((2,0,1), (2,1,2), (2,3,2), (3,1,2), (3,2,2), (3,3,2))"
28/25,1.12000000,54,"((2,1,1), (2,2,2), (2,3,2), (3,2,2), (3,3,2))"
28/27,1.03703704,4,"((2,3,1), (3,0,2), (3,1,1), (3,2,1), (3,3,1))"
28/45,0.62222222,4,"((2,3,1), (3,1,2), (3,2,1), (3,3,1))"
28/75,0.37333333,3,"((2,3,1), (3,2,2), (3,3,1))"
28/125,0.22400000,2,"((2,3,1), (3,3,2))"
29/5,5.80000000,3613,"((0,2,1), (0,3,2), (1,0,2), (1,1,2), (1,2,1), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
29/9,3.22222222,2044,"((0,3,1), (1,1,1), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,1))"
29/15,1.93333333,355,"((0,3,1), (2,0,1), (2,1,1), (2,2,2), (2,3,1), (3,1,2), (3,2,1), (3,3,2))"
29/25,1.16000000,55,"((0,3,1), (1,3,1), (2,1,1), (2,3,2), (3,2,2), (3,3,2))"
29/27,1.07407407,7,"((0,3,1), (2,2,1), (2,3,1), (3,0,1), (3,1,1), (3,3,2))"
29/45,0.64444444,2,"((0,3,1), (1,3,1), (3,1,1), (3,2,1))"
29/75,0.38666667,1,"((0,3,1), (3,2,1), (3,3,1))"
31/5,6.20000000,2941,"((0,1,1), (0,2,1), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
31/9,3.44444444,2507,"((0,3,1), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,1), (3,3,1))"
31/15,2.06666667,461,"((0,3,1), (1,3,1), (2,0,1), (2,1,1), (2,2,2), (2,3,2), (3,1,2), (3,3,2))"
31/25,1.24000000,65,"((0,3,1), (2,1,1), (2,2,2), (2,3,1), (3,2,2), (3,3,2))"
32/5,6.40000000,2619,"((0,2,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
32/9,3.55555556,2771,"((1,1,2), (1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,2,2), (3,3,2))"
32/15,2.13333333,539,"((2,0,2), (2,1,2), (2,3,2), (3,1,1), (3,2,2), (3,3,2))"
32/25,1.28000000,87,"((2,1,2), (2,2,2), (2,3,2), (3,2,1), (3,3,2))"
32/27,1.18518519,10,"((2,3,2), (3,0,1), (3,1,2), (3,2,2), (3,3,2))"
32/45,0.71111111,9,"((2,3,2), (3,1,1), (3,2,2), (3,3,2))"
32/75,0.42666667,5,"((2,3,2), (3,2,1), (3,3,2))"
32/125,0.25600000,2,"((2,3,2), (3,3,1))"
33/5,6.60000000,2188,"((0,1,1), (0,2,2), (0,3,2), (1,0,2), (1,1,1), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
33/25,1.32000000,80,"((0,3,1), (1,3,1), (2,1,1), (2,2,1), (2,3,2), (3,2,2), (3,3,2))"
34/5,6.80000000,1863,"((0,1,2), (0,2,1), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
34/9,3.77777778,3181,"((1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,3,1))"
34/15,2.26666667,669,"((1,3,1), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
34/25,1.36000000,103,"((1,3,1), (2,1,2), (2,2,2), (2,3,2), (3,2,1), (3,3,1))"
34/27,1.25925926,14,"((1,3,1), (2,2,1), (2,3,2), (3,0,2), (3,2,1), (3,3,1))"
34/45,0.75555556,5,"((1,3,1), (2,3,2), (3,1,2), (3,3,1))"
34/75,0.45333333,2,"((1,3,1), (2,3,1), (3,2,2))"
34/125,0.27200000,1,"((1,3,1), (3,3,2))"
35/9,3.88888889,3370,"((0,3,1), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,2,1), (3,3,1))"
35/27,1.29629630,33,"((0,3,1), (1,3,1), (2,2,2), (2,3,2), (3,0,1), (3,3,2))"
36/5,7.20000000,1189,"((0,1,2), (0,2,2), (0,3,2), (1,0,2), (1,1,1), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
36/25,1.44000000,131,"((2,0,1), (2,2,2), (2,3,2), (3,1,2), (3,3,2))"
36/125,0.28800000,2,"((2,2,1), (3,3,2))"
37/5,7.40000000,882,"((0,0,1), (0,2,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
37/9,4.11111111,3647,"((0,3,1), (1,1,2), (1,2,1), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
37/15,2.46666667,866,"((0,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,1), (3,1,1), (3,2,1), (3,3,2))"
37/25,1.48000000,120,"((0,3,1), (1,3,1), (2,1,1), (2,2,2), (2,3,2), (3,2,2), (3,3,2))"
37/27,1.37037037,7,"((0,3,1), (2,2,1), (2,3,1), (3,0,2), (3,1,1), (3,3,2))"
37/45,0.82222222,2,"((0,3,1), (1,3,1), (3,1,2), (3,2,1))"
37/75,0.49333333,1,"((0,3,1), (3,2,2), (3,3,1))"
38/5,7.60000000,672,"((0,1,2), (0,2,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
38/9,4.22222222,3962,"((1,0,1), (1,1,2), (1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,2,2), (3,3,2))"
38/15,2.53333333,992,"((1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,2), (3,3,1))"
38/25,1.52000000,151,"((1,3,1), (2,0,1), (2,2,2), (2,3,2), (3,1,2), (3,3,1))"
38/27,1.40740741,42,"((1,3,1), (2,2,2), (2,3,2), (3,0,1), (3,1,1), (3,2,2), (3,3,1))"
38/45,0.84444444,19,"((1,3,1), (2,2,1), (2,3,2), (3,1,1), (3,2,1), (3,3,1))"
38/75,0.50666667,7,"((1,3,1), (2,3,2), (3,2,1), (3,3,1))"
38/125,0.30400000,3,"((1,3,1), (2,3,1), (3,3,1))"
39/5,7.80000000,456,"((0,0,1), (0,1,2), (0,2,1), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
39/25,1.56000000,153,"((0,3,1), (2,0,1), (2,2,2), (2,3,1), (3,1,2), (3,3,2))"
39/125,0.31200000,1,"((0,3,1), (2,3,1))"
40/9,4.44444444,4096,"((1,0,1), (1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,3,1))"
40/27,1.48148148,10,"((2,3,2), (3,0,2), (3,1,2), (3,2,2), (3,3,2))"
41/5,8.20000000,193,"((0,0,1), (0,1,2), (0,2,2), (0,3,2), (1,0,2), (1,1,1), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
41/9,4.55555556,4280,"((0,3,1), (1,0,1), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,2,1), (3,3,1))"
41/15,2.73333333,1251,"((0,3,1), (1,3,2), (2,0,2), (2,1,2), (2,2,1), (2,3,2), (3,1,1), (3,2,2), (3,3,1))"
41/25,1.64000000,184,"((0,3,1), (1,3,1), (2,1,2), (2,2,2), (2,3,2), (3,2,1), (3,3,2))"
41/27,1.51851852,28,"((0,3,1), (2,2,2), (2,3,1), (3,0,1), (3,1,2), (3,2,1), (3,3,2))"
41/45,0.91111111,9,"((0,3,1), (1,3,1), (2,3,1), (3,1,1), (3,2,2), (3,3,1))"
41/75,0.54666667,3,"((0,3,1), (2,3,1), (3,2,1), (3,3,2))"
42/5,8.40000000,137,"((0,0,2), (0,2,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
42/25,1.68000000,218,"((1,3,1), (2,0,1), (2,1,1), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
42/125,0.33600000,2,"((1,3,1), (2,3,2))"
43/5,8.60000000,62,"((0,0,1), (0,1,2), (0,2,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
43/9,4.77777778,4253,"((0,3,1), (1,0,1), (1,1,2), (1,2,1), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
43/15,2.86666667,1433,"((0,3,1), (1,2,1), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
43/25,1.72000000,210,"((0,3,1), (2,0,1), (2,1,1), (2,3,1), (3,1,2), (3,2,2), (3,3,2))"
43/27,1.59259259,33,"((0,3,1), (1,3,1), (2,2,2), (2,3,2), (3,0,2), (3,3,2))"
43/45,0.95555556,7,"((0,3,1), (2,2,1), (2,3,1), (3,1,2), (3,3,2))"
43/75,0.57333333,2,"((0,3,1), (1,3,1), (3,2,2))"
43/125,0.34400000,1,"((0,3,1), (3,3,2))"
44/5,8.80000000,43,"((0,0,2), (0,1,2), (0,2,1), (0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,1), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
44/9,4.88888889,4483,"((1,0,2), (1,1,2), (1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,2,2), (3,3,2))"
44/15,2.93333333,1602,"((1,2,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,2), (3,3,2))"
44/25,1.76000000,260,"((2,0,1), (2,1,1), (2,2,1), (2,3,2), (3,1,2), (3,2,2), (3,3,2))"
44/27,1.62962963,97,"((2,0,1), (2,3,2), (3,0,1), (3,1,2), (3,2,2), (3,3,2))"
44/45,0.97777778,27,"((2,1,1), (2,3,2), (3,1,1), (3,2,2), (3,3,2))"
44/75,0.58666667,8,"((2,2,1), (2,3,2), (3,2,1), (3,3,2))"
44/125,0.35200000,2,"((2,2,1), (2,3,2))"
46/5,9.20000000,9,"((0,0,2), (0,1,2), (0,2,2), (0,3,2), (1,0,2), (1,1,1), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
46/9,5.11111111,4283,"((1,0,2), (1,1,2), (1,2,2), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,3,1))"
46/15,3.06666667,1813,"((1,1,1), (1,2,1), (1,3,1), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,1))"
46/25,1.84000000,308,"((1,3,1), (2,0,1), (2,1,1), (2,2,1), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
46/27,1.70370370,42,"((1,3,1), (2,2,2), (2,3,2), (3,0,2), (3,1,1), (3,2,2), (3,3,1))"
46/45,1.02222222,19,"((1,3,1), (2,2,1), (2,3,2), (3,1,2), (3,2,1), (3,3,1))"
46/75,0.61333333,7,"((1,3,1), (2,3,2), (3,2,2), (3,3,1))"
46/125,0.36800000,3,"((1,3,1), (2,3,1), (3,3,2))"
47/9,5.22222222,4355,"((0,3,1), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,2,1), (3,3,1))"
47/15,3.13333333,1914,"((0,3,1), (1,2,1), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,2), (3,3,1))"
47/25,1.88000000,298,"((0,3,1), (2,0,1), (2,1,1), (2,2,1), (2,3,1), (3,1,2), (3,2,2), (3,3,2))"
47/27,1.74074074,109,"((0,3,1), (1,3,1), (2,1,1), (2,2,2), (2,3,2), (3,0,1), (3,1,1), (3,3,2))"
47/45,1.04444444,28,"((0,3,1), (2,2,2), (2,3,1), (3,1,1), (3,2,1), (3,3,2))"
47/75,0.62666667,7,"((0,3,1), (1,3,1), (2,3,1), (3,2,1), (3,3,1))"
47/125,0.37600000,2,"((0,3,1), (2,3,1), (3,3,1))"
48/5,9.60000000,1,"((0,0,2), (0,1,2), (0,2,2), (0,3,2), (1,0,2), (1,1,2), (1,2,2), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,1), (3,2,1), (3,3,2))"
48/25,1.92000000,351,"((2,0,1), (2,1,1), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,2))"
48/125,0.38400000,4,"((2,2,1), (2,3,1), (3,3,2))"
49/9,5.44444444,4024,"((0,3,1), (1,0,2), (1,1,2), (1,2,1), (1,3,2), (2,0,2), (2,1,2), (2,2,2), (2,3,2), (3,1,2), (3,2,2), (3,3,1))"
