element,decimal_approx,numerator,denominator,support_primes,valuation_vector,selected_primes
123,123.00000000,123,1,"[3, 41]","[0, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
124,124.00000000,124,1,"[2, 31]","[2, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
125,125.00000000,125,1,[5],"[0, 0, 3, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
126,126.00000000,126,1,"[2, 3, 7]","[1, 2, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
127,127.00000000,127,1,[127],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
128,128.00000000,128,1,[2],"[7, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
129,129.00000000,129,1,"[3, 43]","[0, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
130,130.00000000,130,1,"[2, 5, 13]","[1, 0, 1, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
131,131.00000000,131,1,[131],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
132,132.00000000,132,1,"[2, 3, 11]","[2, 1, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
133,133.00000000,133,1,"[7, 19]","[0, 0, 0, 1, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
134,134.00000000,134,1,"[2, 67]","[1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
135,135.00000000,135,1,"[3, 5]","[0, 3, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
