element,decimal_approx,numerator,denominator,support_primes,valuation_vector,selected_primes
23/16,1.43750000,23,16,"[2, 23]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
23/32,0.71875000,23,32,"[2, 23]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
25/8,3.12500000,25,8,"[2, 5]","[-3, 0, 2, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
25/16,1.56250000,25,16,"[2, 5]","[-4, 0, 2, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
25/32,0.78125000,25,32,"[2, 5]","[-5, 0, 2, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
27/8,3.37500000,27,8,"[2, 3]","[-3, 3, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
27/16,1.68750000,27,16,"[2, 3]","[-4, 3, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
27/32,0.84375000,27,32,"[2, 3]","[-5, 3, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
29/8,3.62500000,29,8,"[2, 29]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
29/16,1.81250000,29,16,"[2, 29]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
29/32,0.90625000,29,32,"[2, 29]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
31/8,3.87500000,31,8,"[2, 31]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
31/16,1.93750000,31,16,"[2, 31]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
31/32,0.96875000,31,32,"[2, 31]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
33/8,4.12500000,33,8,"[2, 3, 11]","[-3, 1, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
33/16,2.06250000,33,16,"[2, 3, 11]","[-4, 1, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
33/32,1.03125000,33,32,"[2, 3, 11]","[-5, 1, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
35/8,4.37500000,35,8,"[2, 5, 7]","[-3, 0, 1, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
35/16,2.18750000,35,16,"[2, 5, 7]","[-4, 0, 1, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
35/32,1.09375000,35,32,"[2, 5, 7]","[-5, 0, 1, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
37/8,4.62500000,37,8,"[2, 37]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
37/16,2.31250000,37,16,"[2, 37]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
37/32,1.15625000,37,32,"[2, 37]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
39/8,4.87500000,39,8,"[2, 3, 13]","[-3, 1, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
39/16,2.43750000,39,16,"[2, 3, 13]","[-4, 1, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
39/32,1.21875000,39,32,"[2, 3, 13]","[-5, 1, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
41/8,5.12500000,41,8,"[2, 41]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
41/16,2.56250000,41,16,"[2, 41]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
41/32,1.28125000,41,32,"[2, 41]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
43/8,5.37500000,43,8,"[2, 43]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
43/16,2.68750000,43,16,"[2, 43]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
43/32,1.34375000,43,32,"[2, 43]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
45/8,5.62500000,45,8,"[2, 3, 5]","[-3, 2, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
45/16,2.81250000,45,16,"[2, 3, 5]","[-4, 2, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
45/32,1.40625000,45,32,"[2, 3, 5]","[-5, 2, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
47/8,5.87500000,47,8,"[2, 47]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
47/16,2.93750000,47,16,"[2, 47]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
47/32,1.46875000,47,32,"[2, 47]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
49/16,3.06250000,49,16,"[2, 7]","[-4, 0, 0, 2, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
49/32,1.53125000,49,32,"[2, 7]","[-5, 0, 0, 2, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
51/16,3.18750000,51,16,"[2, 3, 17]","[-4, 1, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
51/32,1.59375000,51,32,"[2, 3, 17]","[-5, 1, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
53/16,3.31250000,53,16,"[2, 53]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
53/32,1.65625000,53,32,"[2, 53]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
55/16,3.43750000,55,16,"[2, 5, 11]","[-4, 0, 1, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
55/32,1.71875000,55,32,"[2, 5, 11]","[-5, 0, 1, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
57/16,3.56250000,57,16,"[2, 3, 19]","[-4, 1, 0, 0, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
57/32,1.78125000,57,32,"[2, 3, 19]","[-5, 1, 0, 0, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
59/16,3.68750000,59,16,"[2, 59]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
59/32,1.84375000,59,32,"[2, 59]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
61/16,3.81250000,61,16,"[2, 61]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
61/32,1.90625000,61,32,"[2, 61]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
63/16,3.93750000,63,16,"[2, 3, 7]","[-4, 2, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
63/32,1.96875000,63,32,"[2, 3, 7]","[-5, 2, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
